phage_seqname	bact_access	dsDNAphage	ssDNA	RNA	NCLDV	lavidaviridae	max_score	max_score_group	length	hallmark	viral	cellular
WNIJ01000001.1||0_partial	WNIJ01000001.1	0.9	0	0	0.04	0	0.9	dsDNAphage	121874	7	25.5	22.6
WNIJ01000001.1||1_partial	WNIJ01000001.1	0.907	0	0	0.087	0.007	0.907	dsDNAphage	68526	15	35.1	19.1
CP015625.1||0_partial	CP015625.1	0.9	0	0	0.027	0	0.9	dsDNAphage	66160	4	19.2	17.8
CP015625.1||1_partial	CP015625.1	0.973	0	0	0.367	0.013	0.973	dsDNAphage	19690	1	22.2	36.1
CP015820.1||0_partial	CP015820.1	0.947	0	0	0.067	0.013	0.947	dsDNAphage	37636	4	20.8	20.8
CP015821.1||0_partial	CP015821.1	0.9	0	0	0	0	0.9	dsDNAphage	53201	4	22.2	20.6
LXYU01000003.1||0_partial	LXYU01000003.1	0.92	0	0	0.053	0.007	0.92	dsDNAphage	40771	5	29.6	22.2
LXYT01000001.1||0_partial	LXYT01000001.1	0.887	0	0	0.06	0	0.887	dsDNAphage	44197	4	28.3	20.8
LXYS01000002.1||0_partial	LXYS01000002.1	0.94	0	0	0.027	0.007	0.94	dsDNAphage	49229	4	25.9	22.4
LXYS01000004.1||0_partial	LXYS01000004.1	0.9	0	0	0.027	0	0.9	dsDNAphage	106518	11	29.3	26.3
QGLH01000003.1||0_partial	QGLH01000003.1	0.913	0	0	0.027	0	0.913	dsDNAphage	109400	4	25.7	18.2
QGLJ01000007.1||0_partial	QGLJ01000007.1	0.9	0	0	0.027	0	0.9	dsDNAphage	93163	5	25.7	18.3
WKKW01000001.1||0_partial	WKKW01000001.1	0.907	0	0	0.04	0	0.907	dsDNAphage	83203	5	30.4	10.8
VMHJ01000002.1||0_partial	VMHJ01000002.1	0.92	0.007	0	0.033	0	0.92	dsDNAphage	70592	5	30.8	16.5
JDUF01000005.1||0_partial	JDUF01000005.1	0.927	0.007	0	0.14	0	0.927	dsDNAphage	23912	1	25.6	16.3
CP007287.1||0_partial	CP007287.1	0.94	0	0	0.253	0	0.94	dsDNAphage	36655	1	27.1	16.9
CP007287.1||1_partial	CP007287.1	0.867	0	0	0.133	0	0.867	dsDNAphage	14393	2	16.7	16.7
QGLI01000005.1||0_partial	QGLI01000005.1	0.933	0	0	0.04	0.02	0.933	dsDNAphage	10575	1	11.5	19.2
WHNS01000003.1||0_partial	WHNS01000003.1	0.9	0	0	0.167	0.013	0.9	dsDNAphage	66409	13	35.2	18.2
WHNS01000006.1||0_partial	WHNS01000006.1	0.907	0	0	0.027	0	0.907	dsDNAphage	89344	16	31	17.2
WHNS01000010.1||0_partial	WHNS01000010.1	0.94	0	0.005	0.107	0.013	0.94	dsDNAphage	86529	9	29.5	11.6
JATM01000001.1||0_partial	JATM01000001.1	0.887	0	0	0.173	0.013	0.887	dsDNAphage	58098	9	15.9	8
JATM01000003.1||0_partial	JATM01000003.1	0.92	0.007	0	0.073	0.027	0.92	dsDNAphage	55524	14	38.1	20.2
WNIF01000002.1||0_partial	WNIF01000002.1	0.993	0.033	0	0.407	0	0.993	dsDNAphage	14058	6	33.3	8.3
WNIF01000004.1||0_partial	WNIF01000004.1	0.9	0	0	0.16	0.013	0.9	dsDNAphage	43678	9	43.1	17.2
CP047652.1||0_partial	CP047652.1	0.9	0	0	0	0.02	0.9	dsDNAphage	56539	7	22.5	25
AGFR01000007.1||0_partial	AGFR01000007.1	0.947	0.007	0	0.613	0.027	0.947	dsDNAphage	83505	12	37.9	6.9
CP033087.1||0_partial	CP033087.1	0.9	0	0	0.113	0.073	0.9	dsDNAphage	65673	12	32.2	23.3
CP033087.1||1_partial	CP033087.1	0.9	0	0	0.04	0.073	0.9	dsDNAphage	84746	13	33.7	30.3
CP033087.1||2_partial	CP033087.1	0.84	0	0	0.08	0.073	0.84	dsDNAphage	23073	3	37.5	28.1
CP046393.1||0_partial	CP046393.1	0.9	0	0	0.067	0.073	0.9	dsDNAphage	81611	13	33.7	28.9
QGLT01000004.1||0_partial	QGLT01000004.1	0.987	0.093	0	0.867	0.293	0.987	dsDNAphage	31677	12	72.7	6.1
WNID01000008.1||0_partial	WNID01000008.1	0.98	0.013	0	0.447	0.173	0.98	dsDNAphage	21475	1	35.5	3.2
WNID01000012.1||0_partial	WNID01000012.1	0.907	0	0	0.233	0.06	0.907	dsDNAphage	76107	5	20.8	12.9
WNIE01000006.1||0_partial	WNIE01000006.1	0.987	0.033	0	0.433	0.213	0.987	dsDNAphage	28266	7	41.5	2.4
WNII01000007.1||0_partial	WNII01000007.1	0.967	0.1	0	0.747	0.22	0.967	dsDNAphage	31651	11	65.7	8.6
WNIL01000012.1||0_partial	WNIL01000012.1	0.9	0	0	0.16	0.08	0.9	dsDNAphage	70835	7	21.6	11.3
ATSX01000001.1||0_partial	ATSX01000001.1	0.907	0	0	0.273	0.02	0.907	dsDNAphage	100307	13	33.9	17.4
ATSX01000001.1||1_partial	ATSX01000001.1	0.907	0	0	0.053	0	0.907	dsDNAphage	41563	6	27.6	19
U00096.3||0_partial	U00096.3	0.86	0	0	0.053	0.007	0.86	dsDNAphage	69400	2	28.4	50.6
U00096.3||1_partial	U00096.3	0.9	0	0	0	0	0.9	dsDNAphage	57594	3	22.4	38.8
U00096.3||2_partial	U00096.3	0.9	0	0	0.007	0.007	0.9	dsDNAphage	42669	7	28.1	43.8
U00096.3||3_partial	U00096.3	0.86	0.013	0	0.02	0	0.86	dsDNAphage	29977	2	20	51.7
U00096.3||4_partial	U00096.3	0.927	0	0	0.067	0.007	0.927	dsDNAphage	23064	2	35.9	43.6
CP014225.1||0_partial	CP014225.1	0.867	0	0	0.033	0.007	0.867	dsDNAphage	68479	2	28.4	49.4
CP014225.1||1_partial	CP014225.1	0.9	0	0	0	0	0.9	dsDNAphage	57594	3	22.4	38.8
CP014225.1||2_partial	CP014225.1	0.9	0	0	0	0.007	0.9	dsDNAphage	41337	6	26.2	44.3
CP014225.1||3_partial	CP014225.1	0.86	0.013	0	0.02	0	0.86	dsDNAphage	29977	2	20	51.7
CP014225.1||4_partial	CP014225.1	0.927	0	0	0.067	0.007	0.927	dsDNAphage	23064	2	35.9	43.6
CP014225.1||5_partial	CP014225.1	0.847	0.007	0	0.047	0.02	0.847	dsDNAphage	21084	1	25	31.2
CP014348.1||0_partial	CP014348.1	0.873	0	0	0.013	0.007	0.873	dsDNAphage	77241	2	27.6	39.1
CP014348.1||1_partial	CP014348.1	0.867	0	0	0.007	0	0.867	dsDNAphage	51316	3	23.1	43.1
CP014348.1||2_partial	CP014348.1	0.9	0	0	0.013	0.007	0.9	dsDNAphage	42904	6	27.4	40.3
CP014348.1||3_partial	CP014348.1	0.86	0	0	0.02	0	0.86	dsDNAphage	28804	2	20.8	50.9
CP014348.1||4_partial	CP014348.1	0.873	0	0	0.06	0.007	0.873	dsDNAphage	27266	2	32.5	45
CP025268.1||0_partial	CP025268.1	0.86	0	0	0.053	0.007	0.86	dsDNAphage	69399	2	28.4	50.6
CP025268.1||1_partial	CP025268.1	0.9	0	0	0	0	0.9	dsDNAphage	57594	3	22.4	38.8
CP025268.1||2_partial	CP025268.1	0.9	0	0	0.02	0.007	0.9	dsDNAphage	43333	7	28.1	40.6
CP025268.1||3_partial	CP025268.1	0.86	0.013	0	0.02	0	0.86	dsDNAphage	29976	2	20	51.7
CP025268.1||4_partial	CP025268.1	0.88	0	0	0.087	0.02	0.88	dsDNAphage	32792	2	34.1	40.9
CP025268.1||5_partial	CP025268.1	0.9	0	0	0.067	0	0.9	dsDNAphage	21396	1	28.2	17.9
CP012868.1||0_partial	CP012868.1	0.853	0	0	0.013	0.007	0.853	dsDNAphage	81545	2	25.8	38.7
CP012868.1||1_partial	CP012868.1	0.867	0	0	0.007	0	0.867	dsDNAphage	51316	3	23.1	43.1
CP012868.1||2_partial	CP012868.1	0.913	0	0	0.013	0.007	0.913	dsDNAphage	46479	7	26.9	41.8
CP012868.1||3_partial	CP012868.1	0.86	0	0	0.02	0	0.86	dsDNAphage	28804	2	20.8	50.9
CP012868.1||4_partial	CP012868.1	0.873	0	0	0.06	0.007	0.873	dsDNAphage	27266	2	32.5	45
QGTI01000009.1||0_partial	QGTI01000009.1	0.9	0	0	0.293	0.027	0.9	dsDNAphage	21575	3	17.6	38.2
QGTI01000017.1||0_partial	QGTI01000017.1	0.84	0	0	0.247	0.067	0.84	dsDNAphage	15991	1	25.8	29
QGLM01000014.1||0_partial	QGLM01000014.1	0.847	0	0	0.187	0	0.847	dsDNAphage	24180	4	22.5	27.5
QGLM01000017.1||0_partial	QGLM01000017.1	0.9	0	0	0.08	0.007	0.9	dsDNAphage	32495	10	32.5	37.5
CP009056.1||0_partial	CP009056.1	0.88	0	0	0.047	0.007	0.88	dsDNAphage	67729	8	30	38.8
CP009056.1||1_partial	CP009056.1	0.927	0	0	0.267	0.047	0.927	dsDNAphage	18668	3	18.8	40.6
NARP01000001.1||0_partial	NARP01000001.1	0.9	0	0	0.053	0.1	0.9	dsDNAphage	32764	12	38	22
NARP01000006.1||0_partial	NARP01000006.1	0.9	0	0	0.087	0	0.9	dsDNAphage	58592	2	30.6	34.1
LZGR01000073.1||0_partial	LZGR01000073.1	0.913	0	0	0.16	0	0.913	dsDNAphage	76907	13	32.3	32.3
LZGS01000035.1||0_partial	LZGS01000035.1	0.927	0	0	0.767	0.027	0.927	dsDNAphage	17790	1	22.6	29
LZGT01000041.1||0_partial	LZGT01000041.1	0.887	0	0	0.227	0.093	0.887	dsDNAphage	39807	9	28.8	26.9
LZGT01000094.1||0_partial	LZGT01000094.1	0.84	0.007	0	0.047	0.04	0.84	dsDNAphage	30953	4	30.8	33.3
MZNI01000010.1||0_partial	MZNI01000010.1	0.953	0.007	0	0.033	0.013	0.953	dsDNAphage	20821	6	37	18.5
LZHC01000062.1||0_partial	LZHC01000062.1	0.893	0	0	0	0	0.893	dsDNAphage	126820	17	30.7	27
LZHF01000068.1||0_partial	LZHF01000068.1	0.933	0.007	0.005	0.053	0.047	0.933	dsDNAphage	36179	1	21.7	21.7
LZHG01000046.1||0_partial	LZHG01000046.1	0.867	0.02	0.01	0.013	0	0.867	dsDNAphage	8599	1	14.3	46.4
LZHI01000013.1||0_partial	LZHI01000013.1	0.913	0	0	0.027	0.013	0.913	dsDNAphage	69070	19	35.2	33
QICT01000010.1||0_partial	QICT01000010.1	0.86	0	0	0	0	0.86	dsDNAphage	38007	6	22	40
QICT01000012.1||0_partial	QICT01000012.1	0.927	0	0	0.433	0	0.927	dsDNAphage	30968	1	21.2	23.1
QGLP01000005.1||0_partial	QGLP01000005.1	0.9	0	0	0.06	0.007	0.9	dsDNAphage	105286	13	36.6	25.4
QGLP01000005.1||1_partial	QGLP01000005.1	0.933	0	0	0.067	0	0.933	dsDNAphage	63906	17	37	19.8
QGLQ01000008.1||0_partial	QGLQ01000008.1	0.847	0.007	0	0.233	0.133	0.847	dsDNAphage	32621	2	31.9	34
QGLR01000009.1||0_partial	QGLR01000009.1	0.887	0	0	0.033	0	0.887	dsDNAphage	85866	17	32.3	27.3
QGLR01000012.1||0_partial	QGLR01000012.1	0.887	0	0	0.02	0.027	0.887	dsDNAphage	60724	7	32	21.3
LZGY01000206.1||0_partial	LZGY01000206.1	0.847	0.007	0	0.053	0.093	0.847	dsDNAphage	63702	10	34.2	29.1
LZGV01000095.1||0_partial	LZGV01000095.1	0.9	0	0	0.02	0.007	0.9	dsDNAphage	79961	10	31.2	25
LZHL01000024.1||0_partial	LZHL01000024.1	0.9	0	0	0.193	0	0.9	dsDNAphage	26258	5	27.9	39.5
MCIU01000040.1||0_partial	MCIU01000040.1	0.913	0	0	0.167	0.013	0.913	dsDNAphage	46449	8	29.9	31.3
NASB01000025.1||0_partial	NASB01000025.1	0.913	0.007	0.01	0.253	0.02	0.913	dsDNAphage	17983	4	22.2	40.7
NARN01000002.1||0_partial	NARN01000002.1	0.953	0	0	0.06	0.007	0.953	dsDNAphage	86690	11	37.6	21.1
NASA01000012.1||0_partial	NASA01000012.1	0.913	0	0	0.173	0.007	0.913	dsDNAphage	26233	1	35	32.5
LZHP01000053.1||0_partial	LZHP01000053.1	0.947	0.007	0	0.04	0.087	0.947	dsDNAphage	22106	1	24.2	27.3
LZHR01000050.1||0_partial	LZHR01000050.1	0.893	0	0	0.053	0.06	0.893	dsDNAphage	26487	2	25.5	27.5
LZGJ01000030.1||0_partial	LZGJ01000030.1	0.893	0	0	0.327	0	0.893	dsDNAphage	43583	4	26.8	26.8
JAIN01000001.1||0_partial	JAIN01000001.1	0.993	0	0	0.053	0.02	0.993	dsDNAphage	23975	10	48.5	12.1
VMHM01000011.1||0_partial	VMHM01000011.1	0.907	0.007	0	0.073	0.12	0.907	dsDNAphage	60251	13	38.5	19.2
VMHM01000003.1||0_partial	VMHM01000003.1	0.893	0	0	0.053	0.053	0.893	dsDNAphage	26972	6	27.5	40
VMHM01000008.1||0_partial	VMHM01000008.1	0.973	0	0	0.067	0.013	0.973	dsDNAphage	22203	5	35.7	17.9
VMHL01000001.1||0_partial	VMHL01000001.1	0.9	0	0	0.02	0.007	0.9	dsDNAphage	233547	35	31.6	22.7
VMHL01000001.1||1_partial	VMHL01000001.1	0.88	0	0	0.2	0.013	0.88	dsDNAphage	70629	10	37.4	33
VMHL01000006.1||0_partial	VMHL01000006.1	0.967	0	0	0.04	0.02	0.967	dsDNAphage	66214	6	30.3	13.2
LZGW01000001.1||0_partial	LZGW01000001.1	0.9	0	0	0.087	0.093	0.9	dsDNAphage	77370	12	37.4	28.6
LZGW01000030.1||0_partial	LZGW01000030.1	0.907	0.007	0	0.553	0.027	0.907	dsDNAphage	23743	1	9.5	23.8
LZGW01000032.1||0_partial	LZGW01000032.1	0.9	0.007	0	0.08	0	0.9	dsDNAphage	84294	13	33.9	29.4
LZGW01000052.1||0_partial	LZGW01000052.1	0.907	0	0	0.053	0.027	0.907	dsDNAphage	73572	10	31.8	24.7
CP007445.1||0_partial	CP007445.1	0.82	0	0	0.067	0	0.82	dsDNAphage	67244	5	28	34.1
CP007445.1||1_partial	CP007445.1	0.927	0	0	0.633	0.027	0.927	dsDNAphage	35284	1	19	25.9
CP007445.1||2_partial	CP007445.1	0.893	0.007	0	0.027	0.007	0.893	dsDNAphage	28387	6	24.4	39
LZGM01000015.1||0_partial	LZGM01000015.1	0.98	0.02	0	0.367	0.02	0.98	dsDNAphage	8565	1	50	12.5
LZGM01000117.1||0_partial	LZGM01000117.1	0.913	0	0	0.16	0.027	0.913	dsDNAphage	18042	7	27.6	34.5
JFON01000002.1||0_partial	JFON01000002.1	0.9	0	0	0.033	0.013	0.9	dsDNAphage	185105	37	34.2	24.4
LZGL01000009.1||0_partial	LZGL01000009.1	0.9	0	0	0.027	0	0.9	dsDNAphage	97152	13	31.1	33.6
LZGL01000013.1||0_partial	LZGL01000013.1	0.927	0	0	0.06	0.007	0.927	dsDNAphage	29989	7	34.7	28.6
LYST01000021.1||0_partial	LYST01000021.1	0.953	0.013	0	0.527	0.02	0.953	dsDNAphage	30361	9	50	12.5
LZGK01000011.1||0_partial	LZGK01000011.1	0.9	0	0	0.033	0.013	0.9	dsDNAphage	96551	13	38.1	26.2
LZGK01000013.1||0_partial	LZGK01000013.1	0.9	0	0	0.093	0.013	0.9	dsDNAphage	31360	5	26.7	31.1
LZGO01000072.1||0_partial	LZGO01000072.1	0.9	0.007	0	0.733	0.033	0.9	dsDNAphage	21184	8	53.3	6.7
LZGN01000003.1||0_partial	LZGN01000003.1	0.86	0	0	0.06	0.02	0.86	dsDNAphage	30460	8	26.2	42.9
LZGN01000037.1||0_partial	LZGN01000037.1	0.913	0.007	0	0.067	0.013	0.913	dsDNAphage	30488	6	29.8	31.9
CM004509.1||0_partial	CM004509.1	0.9	0	0	0.147	0	0.9	dsDNAphage	99902	27	35.5	22.4
LZEI01000006.1||0_partial	LZEI01000006.1	0.913	0	0	0.113	0.007	0.913	dsDNAphage	74990	7	31.8	32.9
LZEI01000011.1||0_partial	LZEI01000011.1	0.893	0	0	0.04	0.007	0.893	dsDNAphage	52327	6	36.4	30.3
NASK01000099.1||0_partial	NASK01000099.1	0.92	0	0	0.053	0.027	0.92	dsDNAphage	28035	1	39	19.5
QGLN01000004.1||0_partial	QGLN01000004.1	0.9	0	0	0.027	0.007	0.9	dsDNAphage	53126	13	28	30.7
QGLO01000004.1||0_partial	QGLO01000004.1	0.913	0	0	0.06	0.013	0.913	dsDNAphage	119397	17	31.6	23.7
QGLO01000004.1||1_partial	QGLO01000004.1	0.92	0	0	0.48	0	0.92	dsDNAphage	57892	9	28.8	27.4
QGLO01000004.1||2_partial	QGLO01000004.1	0.927	0	0	0.08	0.093	0.927	dsDNAphage	26148	4	30.4	21.7
NASS01000005.1||0_partial	NASS01000005.1	0.9	0.007	0	0.053	0.007	0.9	dsDNAphage	70174	13	32.9	27.1
NASH01000020.1||0_partial	NASH01000020.1	0.92	0	0	0.04	0.027	0.92	dsDNAphage	22341	1	26.2	31
NASJ01000006.1||0_partial	NASJ01000006.1	0.9	0	0	0.02	0	0.9	dsDNAphage	30656	3	26.7	24.4
LZGI01000018.1||0_partial	LZGI01000018.1	0.907	0	0	0.033	0	0.907	dsDNAphage	78553	17	31.7	33.3
LZGH01000009.1||0_partial	LZGH01000009.1	0.913	0	0	0.027	0.007	0.913	dsDNAphage	52734	13	28	30.7
JAIO01000009.1||0_partial	JAIO01000009.1	0.86	0	0	0.06	0.007	0.86	dsDNAphage	25895	2	16.7	26.2
CP029544.1||0_partial	CP029544.1	0.947	0	0	0.473	0.027	0.947	dsDNAphage	37303	1	33.3	17.5
KQ033871.1||0_partial	KQ033871.1	0.9	0	0	0.447	0	0.9	dsDNAphage	139814	11	35.9	26.2
AZBY01000020.1||0_partial	AZBY01000020.1	0.987	0.027	0	0.193	0.04	0.987	dsDNAphage	16226	2	44.4	5.6
BDDX01000001.1||0_partial	BDDX01000001.1	0.907	0	0	0.027	0.013	0.907	dsDNAphage	97501	8	29.9	21.6
KQ440388.1||0_partial	KQ440388.1	0.913	0	0	0.027	0.02	0.913	dsDNAphage	98354	8	31.4	21.2
QUBN01000015.1||0_partial	QUBN01000015.1	0.96	0.007	0	0.027	0.013	0.96	dsDNAphage	15995	2	31.8	22.7
JXCV01000008.1||0_partial	JXCV01000008.1	0.913	0	0	0.593	0.033	0.913	dsDNAphage	30342	2	32.6	17.4
CP012920.1||0_partial	CP012920.1	0.9	0	0	0.033	0.007	0.9	dsDNAphage	117185	9	31.5	15.1
VCSE01000002.1||0_partial	VCSE01000002.1	0.933	0	0	0.033	0.007	0.933	dsDNAphage	72529	9	30.6	16.2
JAAEDX010000001.1||0_partial	JAAEDX010000001.1	0.913	0	0	0.46	0	0.913	dsDNAphage	122984	9	30.1	17.6
JAAEDX010000001.1||1_partial	JAAEDX010000001.1	0.9	0	0	0.433	0.053	0.9	dsDNAphage	41385	1	30	18.6
QGLG01000002.1||0_partial	QGLG01000002.1	0.913	0	0	0.02	0	0.913	dsDNAphage	137059	10	31.4	31.4
QGLG01000002.1||1_partial	QGLG01000002.1	0.92	0	0	0.4	0	0.92	dsDNAphage	88800	13	35.1	17.1
KQ034021.1||0_partial	KQ034021.1	0.9	0.007	0	0.447	0	0.9	dsDNAphage	107021	13	34.3	21.6
CP054657.1||0_partial	CP054657.1	0.873	0	0	0.013	0	0.873	dsDNAphage	82339	11	32.5	19
CP054657.1||1_partial	CP054657.1	0.847	0	0	0.167	0.073	0.847	dsDNAphage	17067	1	31	24.1
CP035790.1||0_partial	CP035790.1	0.92	0	0	0.007	0	0.92	dsDNAphage	78898	12	30.7	22.8
CP035790.1||1_partial	CP035790.1	1	0	0.005	0.087	0.04	1	dsDNAphage	29152	6	45.3	1.9
CP035790.1||2_partial	CP035790.1	0.933	0	0	0.487	0.007	0.933	dsDNAphage	28754	4	33.3	22.9
CP035790.1||3_partial	CP035790.1	0.907	0	0	0.12	0	0.907	dsDNAphage	24536	5	25	25
CP029613.1||0_partial	CP029613.1	0.913	0	0	0	0.007	0.913	dsDNAphage	149003	9	31.5	19
CP051129.1||0_partial	CP051129.1	0.933	0	0	0.007	0.007	0.933	dsDNAphage	173937	15	28	19.6
CP051129.1||1_partial	CP051129.1	0.9	0	0	0.033	0.007	0.9	dsDNAphage	72558	14	40.2	24.4
CP051129.1||2_partial	CP051129.1	0.94	0.007	0	0.473	0	0.94	dsDNAphage	28417	4	27.3	20.5
AZDD01000002.1||0_partial	AZDD01000002.1	0.92	0	0	0.547	0.167	0.92	dsDNAphage	27065	4	41.2	14.7
CP000705.1||0_partial	CP000705.1	0.913	0	0	0.013	0.007	0.913	dsDNAphage	86449	10	28.6	24.3
CP000705.1||1_partial	CP000705.1	0.94	0	0	0.007	0.007	0.94	dsDNAphage	78894	12	31.6	20.2
CP000705.1||2_partial	CP000705.1	0.9	0	0	0.467	0	0.9	dsDNAphage	33372	4	32.1	22.6
CP006011.1||0_partial	CP006011.1	0.9	0	0	0.4	0	0.9	dsDNAphage	43165	5	30	25
CP011024.1||0_partial	CP011024.1	0.913	0	0	0.013	0.007	0.913	dsDNAphage	86449	10	28.6	24.3
CP011024.1||1_partial	CP011024.1	0.9	0	0	0.467	0	0.9	dsDNAphage	33372	4	32.1	22.6
AP007281.1||0_partial	AP007281.1	0.907	0	0	0.073	0	0.907	dsDNAphage	87668	10	27.9	26.2
AP007281.1||1_partial	AP007281.1	0.933	0	0	0.013	0	0.933	dsDNAphage	80778	12	31.6	21.1
AP007281.1||2_partial	AP007281.1	0.9	0	0	0.467	0	0.9	dsDNAphage	33373	4	32.1	22.6
CP041676.1||0_partial	CP041676.1	0.9	0	0	0.02	0.007	0.9	dsDNAphage	110856	8	33.1	27.3
CP041676.1||1_partial	CP041676.1	0.9	0	0	0	0	0.9	dsDNAphage	97275	12	27.1	30.2
CP002844.1||0_partial	CP002844.1	0.88	0	0	0.42	0	0.88	dsDNAphage	141493	14	35	17.5
CP002844.1||1_partial	CP002844.1	0.907	0	0	0.08	0.007	0.907	dsDNAphage	114810	15	31.4	25
CP029615.1||0_partial	CP029615.1	0.907	0	0	0.033	0	0.907	dsDNAphage	50329	9	29.7	27
CP029615.1||1_partial	CP029615.1	0.993	0	0	0.033	0.02	0.993	dsDNAphage	21059	1	45.2	9.5
CP006603.1||0_partial	CP006603.1	0.913	0	0	0.007	0	0.913	dsDNAphage	100972	10	29.7	21.4
CP027805.1||0_partial	CP027805.1	0.953	0.007	0	0.407	0.013	0.953	dsDNAphage	50139	5	42.3	19.7
CP027805.1||1_partial	CP027805.1	0.82	0	0	0.02	0.007	0.82	dsDNAphage	31842	1	30.4	32.6
CP030089.1||0_partial	CP030089.1	0.9	0	0	0.453	0.007	0.9	dsDNAphage	205239	25	34.8	20.2
CP030089.1||1_partial	CP030089.1	0.907	0	0	0.453	0	0.907	dsDNAphage	126571	11	33.1	19.1
CP030089.1||2_partial	CP030089.1	0.94	0	0	0.027	0	0.94	dsDNAphage	76401	14	30.3	21
CP014786.1||0_partial	CP014786.1	0.907	0	0	0.02	0	0.907	dsDNAphage	128254	14	30.4	19.6
CP045049.1||0_partial	CP045049.1	0.933	0	0	0.013	0	0.933	dsDNAphage	66137	6	25.5	18.9
JSAY01000004.1||0_partial	JSAY01000004.1	0.907	0	0	0.047	0.093	0.907	dsDNAphage	67599	12	43	18
JSAY01000005.1||0_partial	JSAY01000005.1	0.92	0	0	0.033	0.087	0.92	dsDNAphage	38528	7	30.6	22.6
JSBA01000002.1||0_partial	JSBA01000002.1	0.907	0	0	0.04	0	0.907	dsDNAphage	102398	12	35.6	19.7
JSBA01000005.1||0_partial	JSBA01000005.1	0.92	0	0	0.033	0.087	0.92	dsDNAphage	38528	7	30.6	22.6
JSBE01000003.1||0_partial	JSBE01000003.1	0.907	0	0	0.047	0.093	0.907	dsDNAphage	67598	12	43	18
JSBE01000006.1||0_partial	JSBE01000006.1	0.927	0	0	0.033	0.093	0.927	dsDNAphage	35096	7	31.1	23
JSAV01000004.1||0_partial	JSAV01000004.1	0.907	0	0	0.047	0.093	0.907	dsDNAphage	67598	12	43	18
JSAV01000006.1||0_partial	JSAV01000006.1	0.92	0	0	0.013	0.027	0.92	dsDNAphage	43289	7	26.5	26.5
JSAX01000003.1||0_partial	JSAX01000003.1	0.907	0	0	0.047	0.093	0.907	dsDNAphage	67598	12	43	18
JSAX01000006.1||0_partial	JSAX01000006.1	0.92	0	0	0.013	0.027	0.92	dsDNAphage	43289	7	26.5	26.5
JSBF01000005.1||0_partial	JSBF01000005.1	0.913	0	0	0.033	0.067	0.913	dsDNAphage	99359	25	39.2	17.6
JSAZ01000001.1||0_partial	JSAZ01000001.1	0.98	0.02	0	0.1	0.153	0.98	dsDNAphage	36088	17	63.5	4.8
JSAZ01000001.1||1_partial	JSAZ01000001.1	0.933	0	0	0.073	0.08	0.933	dsDNAphage	27733	7	42.9	21.4
JSAZ01000002.1||0_partial	JSAZ01000002.1	0.98	0	0	0.147	0.02	0.98	dsDNAphage	36212	8	58.3	6.2
AP012200.1||0_partial	AP012200.1	0.9	0	0	0.02	0	0.9	dsDNAphage	156124	25	34.3	23.9
JSAW01000002.1||0_partial	JSAW01000002.1	0.907	0	0	0.04	0	0.907	dsDNAphage	102398	12	35.6	19.7
JSAW01000003.1||0_partial	JSAW01000003.1	0.92	0	0	0.033	0.087	0.92	dsDNAphage	38528	7	30.6	22.6
AP021885.1||0_partial	AP021885.1	0.9	0	0	0.033	0	0.9	dsDNAphage	90981	12	37.3	19
AP021885.1||1_partial	AP021885.1	0.92	0	0	0.013	0.027	0.92	dsDNAphage	43289	7	26.5	26.5
AP012282.1||0_partial	AP012282.1	0.9	0	0	0.013	0	0.9	dsDNAphage	35669	7	31.9	29.8
AP018492.1||0_partial	AP018492.1	0.907	0	0	0.027	0	0.907	dsDNAphage	39795	7	26.9	34.6
AP018524.1||0_partial	AP018524.1	0.9	0	0	0.02	0	0.9	dsDNAphage	160063	25	35.6	24.9
AP018526.1||0_partial	AP018526.1	0.9	0	0	0.033	0	0.9	dsDNAphage	90981	12	37.3	19
AP018526.1||1_partial	AP018526.1	0.92	0	0	0.013	0.027	0.92	dsDNAphage	43289	7	26.5	26.5
JSBC01000003.1||0_partial	JSBC01000003.1	0.907	0	0	0.047	0.093	0.907	dsDNAphage	67598	12	43	18
JSBC01000005.1||0_partial	JSBC01000005.1	0.92	0	0	0.013	0.027	0.92	dsDNAphage	43289	7	26.5	27.9
JSBD01000005.1||0_partial	JSBD01000005.1	0.907	0	0	0.047	0.093	0.907	dsDNAphage	67598	12	43	18
JSBD01000007.1||0_partial	JSBD01000007.1	0.92	0	0	0.013	0.027	0.92	dsDNAphage	43289	7	26.5	26.5
CP006683.1||0_partial	CP006683.1	0.907	0	0	0.04	0	0.907	dsDNAphage	102398	12	35.6	19.7
CP006683.1||1_partial	CP006683.1	0.92	0	0	0.013	0.027	0.92	dsDNAphage	43289	7	26.5	26.5
LMYH01000017.1||0_partial	LMYH01000017.1	0.907	0	0	0.087	0.02	0.907	dsDNAphage	69636	13	34.4	20
CBLY010000008.1||0_partial	CBLY010000008.1	0.993	0	0	0.747	0	0.993	dsDNAphage	27634	11	44.2	7
MEJG01000001.1||0_partial	MEJG01000001.1	0.98	0.113	0	0.127	0.12	0.98	dsDNAphage	21108	8	65.5	0
LMYI01000002.1||0_partial	LMYI01000002.1	0.947	0	0	0.147	0.007	0.947	dsDNAphage	50465	13	36.8	26.3
LMYJ01000005.1||0_partial	LMYJ01000005.1	0.9	0	0	0.127	0	0.9	dsDNAphage	57361	13	34.2	26.6
CP020554.1||0_partial	CP020554.1	0.907	0	0	0	0	0.907	dsDNAphage	76808	11	24	34.6
